,Team,Games_x_x,Points_x_x,Yards_x,Plays_x,Yards per Play_x,Turnovers,Fumbles Lost,First Downs,Completions_x_x,Attempts_x_x,Passing Yards,Passing TDs_x,Interceptions_x_x,Net Yards per Passing Attempt,Passing First Downs,Rushing Attempts,Rushing Yards,Rushing TDs_x_x,Rushing Yards per Attempt,Rushing First Downs,Penalties_x,Penalty Yards_x,First Downs by Penalty,Score Percentage,Turnover Percentage_x,Expected Points Contributed by Offense,Games_y_x,Rushing TDs_y_x,Receiving TDs_x,Punt Return TDs,Kick Return TDs,Fumble TDs_x,Interception TDs_x,Other TDs_x,All TDs_x,2 Point Conv. Made,2 Point Conv. Attempted,Defensive 2 Point,Extra Points Made_x,Extra Points Attempted_x,Field Goals Made_x,Field Goals Attempted_x,Safeties_x,Points_y_x,Points per Game_x,Games_x_x,Completions_y_x,Attempts_y_x,Completion Percentage_x,Yards_y,TDs_x,TD Percentage_x,Interceptions_y_x,INT Percentage,Long_x,Yards per Attempt_x,Adj. Yards per Attempt_x,Yards per Completion_x,Yards per Game_x,QBR_x,Sacks,Sack Yards_x,Net Yards per Attempt_x,Adj. Net Yards per Attempt,Sack Percentage_x,4Q Comebacks,Game Winning Drives,Expected Points Added_x_x,Games_y_x,Attempts_x,Yards_x,TDs_y,Long_y,Yards per Attempt_y,Yards per Game_y,Fumbles,Expected Points Added_y_x,Games_x_y,FGA: 0-19,FGM: 0-19,FGA: 20-29,FGM: 20-29,FGA: 30-39,FGM: 30-39,FGA: 40-49,FGM: 40-49,FGA: 50+,FGM: 50+,FGA_x,FGM_x,Long,FG Percentage_x,Extra Points Attempted_y,Extra Points Made_y,Extra Point Percentage_x,Kickoffs,Kickoff Yards,Touchbacks,Touchback Percentage,Kickoff Avg.,Punts_x,Punt Yards_x,Long,Blocked,Yards per Punt_x,Games_y_y,Punt Returns_x,PR Yards_x,PR TDs_x,Long PR,Yards per PR_x,Kick Returns_x,KR Yards_x,KR TDs_x,Long KR,Yards per KR_x,All Purpose Yards,Games_x_x,3rd Down Attempts_x,3rd Down Conversions_x,3rd Down Percentage_x,4th Down Attempts_x,4th Down Conversions_x,4th Down Percentage_x,Red Zone Attempts_x,Red Zone TDs_x,Red Zone Percentage_x,Games_y_x,Drives_x,Plays_y,Scoring Percentage_x,Turnover Percentage_y,Plays per Drive_x,Yards per Drive_x,Average Start_x,Average Time_x,Average Points_x,Games_x_y,Points_x_y,Yards_y,Plays_x,Yards per Play_y,Takeaways,Fumbles Recovered,1st Downs,Completions_x_y,Attempts_x_y, Passing Yards,Passing TDs_x,Interceptions_x_y,Passing Yards per Attempt_x,Passing 1st Downs,Rushing Attempts_x,Rushing Yards_x,Rushing TDs_x_y,Rushing Yards per Attempt_x,Rushing 1st Downs,Penalties_y,Penalty Yards_y,1st Downs by Penalty,Scoring Percentage_y,Takeaway Percentage,Expected Points Added_x_y,Games_y_y,Attempts_y_y,Completions_y_y,Passing Yards_x,Passing TDs_y,Target Depth,Completion Air Yards,Yards After Catch,Blitzes,Blitzes per Dropback,Hurries,Hurries per Dropback,Knockdowns,Knockdowns per Attempt,Sacks_x,Pressures,Pressures per Dropback,Missed Tackles,Games_x_y,Rushing TDs_y_y,Receiving TDs_y,PR TDs_y,KR TDs_y,Fumble TDs_y,Interception TDs_y,Other TDs_y,All TDs_y,2P Made,2p Attempted,Extra Points Made_x,Extra Points Attempted_x,Field Goals Made_y,Field Goals Attempted_y,Safeties_y,Points_y_y,Points per Game_y,Games_y_y,Completions,Attempts_y,Completion Percentage_y,Passing Yards_y,Passing TDs_y,TD Percentage_y,Interceptions_y_y,Passes Defensed,Interception Percentage,Passing Yards per Attempt_y,Adj. Yards per Attempt_y,Yards per Completion_y,Passing Yards per Game,QBR_y,Sacks_y,Sack Yards_y,QB Hits,Tackles for Loss,Net Yards per Attempt_y,Adj. Net Yards Per Attempt,Sack Percentage_y,Expected Points Added_y_y,Games,Rushing Attempts_y,Rushing Yards_y,Rushing TDs,Rushing Yards per Attempt_y,Rushing Yards per Game,Expected Points Added,Games_x_x,FGA_y,FGM_y,FG Percentage_y,Extra Points Attempted_y,Extra Points Made_y,Extra Point Percentage_y,Punts_y,Punt Yards_y,Punt Blocks,Yards per Punt_y,Games_y_x,Punt Returns_y,PR Yards_y,PR TDs,Yards per PR_y,Kick Returns_y,KR Yards_y,KR TDs,Yards per KR_y,Games_x_y,3rd Down Attempts_y,3rd Down Conversions_y,3rd Down Percentage_y,4th Down Attempts_y,4th Down Conversions_y,4th Down Percentage_y,Red Zone Attempts_y,Red Zone TDs_y,Red Zone Percentage_y,Games_y_y,Drives_y,Plays_y,Scoring Percentage,Turnover Percentage,Plays per Drive_y,Yards per Drive_y,Average Start_y,Average Time_y,Average Points_y
22,Chicago Bears,16,372,5302,1043,5.1,22,6,335,402,614,3655,26,16,5.6,218,393,1647,12,4.2,93,88,777,24,38.9,12.0,34.92\,16.0,12.0,26.0,,1.0,1.0,,,40.0,2.0,3.0,,36.0,37.0,30.0,32.0,1.0,372.0,23.3\,16.0,402.0,614.0,65.5,3655.0,26.0,4.2,16.0,2.6,53.0,6.4,6.1,9.8,228.4,86.5,36.0,270.0,5.6,5.3,5.5,3.0,3.0,37.48\,16.0,393.0,1647.0,12.0,80.0,4.2,102.9,20.0,1.57\,16,,,9,9,10,10,10,9,3,2,32,30,55,93.8%,37,36,97.3%,86,5252,42,48.8%,61.1,64,2924,64,0,45.7\,16,25,190,0,32,7.6,47,1145,1,104,24.4,6997\,16,205,71,34.6%,28,17,60.7%,55,31,56.4%\,16,175,1075,38.9,12.0,6.1,30.3,Own 30.5,2:47,2.03\,16,370,5519,1020,5.4,18,8,331,350,547,3705,28,10,6.4,190,438,1814,11,4.1,104,95,861,37,38.0,8.9,-90.30\,16.0,547.0,350.0,3705.0,28.0,8.6,2377.0,1751.0,131.0,21.4%,50.0,8.2%,48.0,8.8%,35.0,133.0,21.8%,89\,16.0,11.0,28.0,,,2.0,,,41.0,,1.0,37.0,40.0,29.0,35.0,,370.0,23.1\,16.0,350.0,547.0,64.0,3705.0,28.0,5.1,10.0,71.0,1.8,7.2,7.4,11.3,231.6,94.9,35.0,234.0,88.0,63.0,6.4,6.6,6.0,-116.33\,16.0,438.0,1814.0,11.0,4.1,113.4,25.22\,16,35,29,82.9%,40,37,92.5%,63,2866,0,45.5\,16,25,294,0,11.8,41,836,0,20.4\,16,210,80,38.1%,22,13,59.1%,53,29,54.7%\,16,179,1055,38.0,8.9,5.9,30.8,Own 29.3,2:41,2.01\
23,Carolina Panthers,16,350,5592,993,5.6,21,5,335,373,550,3888,16,16,6.6,192,407,1704,19,4.2,110,95,752,33,40.3,13.2,81.20\,16.0,19.0,16.0,,,3.0,,,38.0,1.0,2.0,,33.0,36.0,29.0,36.0,,350.0,21.9\,16.0,373.0,550.0,67.8,3888.0,16.0,2.9,16.0,2.9,75.0,7.5,6.8,11.1,243.0,87.5,36.0,241.0,6.6,6.0,6.1,,,60.94\,16.0,407.0,1704.0,19.0,45.0,4.2,106.5,13.0,20.87\,16,,,12,11,10,10,8,7,6,1,36,29,56,80.6%,36,33,91.7%,81,5095,71,87.7%,62.9,45,2082,67,0,46.3\,16,20,117,0,20,5.9,29,734,0,98,25.3,6916\,16,195,76,39.0%,27,15,55.6%,57,29,50.9%\,16,159,1029,40.3,13.2,6.5,35.1,Own 28.5,3:07,2.09\,16,402,5761,1022,5.6,22,15,360,398,585,3825,28,7,6.2,211,408,1936,17,4.7,114,85,713,35,46.0,12.4,-125.54\,16.0,585.0,398.0,3825.0,28.0,7.4,2372.0,1971.0,153.0,24.0%,59.0,9.2%,46.0,7.9%,29.0,134.0,21.0%,118\,16.0,17.0,28.0,1.0,,,,,46.0,1.0,3.0,37.0,43.0,29.0,31.0,,402.0,25.1\,16.0,398.0,585.0,68.0,3825.0,28.0,4.8,7.0,58.0,1.2,6.9,7.3,10.1,239.1,98.4,29.0,199.0,89.0,55.0,6.2,6.6,4.7,-106.79\,16.0,408.0,1936.0,17.0,4.7,121.0,-27.66\,16,31,29,93.5%,43,37,86.0%,51,2233,0,43.8\,16,18,184,1,10.2,7,144,0,20.6\,16,199,98,49.2%,10,6,60.0%,57,36,63.2%\,16,161,1053,46.0,12.4,6.5,35.6,Own 29.8,2:53,2.50\
24,Washington Football Team,16,335,5076,1051,4.8,27,11,322,389,601,3465,16,16,5.3,184,400,1611,18,4.0,108,87,697,30,33.3,13.1,-10.43\,16.0,18.0,16.0,,,1.0,2.0,,37.0,,5.0,,30.0,32.0,27.0,34.0,1.0,335.0,20.9\,16.0,389.0,601.0,64.7,3465.0,16.0,2.7,16.0,2.7,68.0,6.3,5.7,9.8,216.6,80.1,50.0,331.0,5.3,4.7,7.7,2.0,2.0,-22.49\,16.0,400.0,1611.0,18.0,40.0,4.0,100.7,24.0,19.76\,16,,,5,5,8,7,17,13,4,2,34,27,51,79.4%,32,30,93.8%,78,4808,65,83.3%,61.6,73,3504,65,0,48.0\,16,31,176,0,22,5.7,31,645,0,46,20.8,6416\,16,225,88,39.1%,19,11,57.9%,47,27,57.4%\,16,183,1085,33.3,13.1,5.9,27.7,Own 28.4,2:37,1.74\,16,329,4873,1004,4.9,23,7,289,330,529,3068,21,16,5.3,161,428,1805,14,4.2,100,85,708,28,31.4,12.2,32.51\,16.0,529.0,330.0,3068.0,21.0,8.3,2047.0,1496.0,195.0,32.4%,60.0,10.0%,47.0,8.9%,47.0,154.0,25.6%,122\,16.0,14.0,21.0,,,2.0,,,37.0,1.0,1.0,33.0,36.0,24.0,27.0,,329.0,20.6\,16.0,330.0,529.0,62.4,3068.0,21.0,4.0,16.0,66.0,3.0,6.4,5.8,10.3,191.8,81.4,47.0,325.0,97.0,78.0,5.3,4.8,8.2,22.79\,16.0,428.0,1805.0,14.0,4.2,112.8,7.17\,16,27,24,88.9%,36,33,91.7%,73,3370,0,46.2\,16,36,209,0,5.8,9,235,0,26.1\,16,216,81,37.5%,24,9,37.5%,43,23,53.5%\,16,188,1031,31.4,12.2,5.5,25.8,Own 29.5,2:34,1.69\
25,Philadelphia Eagles,16,334,5354,1066,5.0,29,9,336,334,598,3327,22,20,5.0,177,403,2027,16,5.0,114,107,853,45,27.9,15.3,-13.65\,16.0,16.0,22.0,1.0,,2.0,1.0,,42.0,7.0,16.0,,24.0,26.0,14.0,19.0,1.0,334.0,20.9\,16.0,334.0,598.0,55.9,3327.0,22.0,3.7,20.0,3.3,81.0,6.2,5.5,11.2,207.9,72.9,65.0,401.0,5.0,4.3,9.8,3.0,2.0,-18.65\,16.0,403.0,2027.0,16.0,82.0,5.0,126.7,31.0,30.39\,16,,,3,1,6,6,5,5,5,2,19,14,54,73.7%,26,24,92.3%,75,4626,46,61.3%,61.7,74,3395,66,1,45.9\,16,26,230,1,73,8.8,31,648,0,46,20.9,6769\,16,220,82,37.3%,35,15,42.9%,46,28,60.9%\,16,190,1085,27.9,15.3,5.7,28.1,Own 27.2,2:28,1.66\,16,418,5810,1060,5.5,19,11,340,364,530,3798,27,8,6.6,209,481,2012,20,4.2,98,112,1036,33,37.8,9.2,-71.06\,16.0,530.0,364.0,3798.0,27.0,7.7,2334.0,1932.0,133.0,22.2%,58.0,9.7%,61.0,11.5%,49.0,168.0,28.1%,113\,16.0,20.0,27.0,,,,1.0,,48.0,,1.0,45.0,47.0,27.0,32.0,2.0,418.0,26.1\,16.0,364.0,530.0,68.7,3798.0,27.0,5.1,8.0,43.0,1.5,7.8,8.1,11.3,237.4,102.4,49.0,324.0,115.0,91.0,6.6,6.9,8.5,-83.17\,16.0,481.0,2012.0,20.0,4.2,125.8,14.58\,16,32,27,84.4%,47,45,95.7%,71,3271,0,46.1\,16,43,274,0,6.4,26,581,0,22.3\,16,211,80,37.9%,18,7,38.9%,51,33,64.7%\,16,196,1092,37.8,9.2,5.6,29.5,Own 30.6,2:34,2.09\
26,New England Patriots,16,326,5236,979,5.3,19,5,332,283,440,2890,12,14,6.1,157,502,2346,20,4.7,143,62,534,32,36.9,12.1,55.88\,16.0,20.0,12.0,1.0,,1.0,1.0,1.0,36.0,1.0,3.0,,30.0,33.0,26.0,28.0,,326.0,20.4\,16.0,283.0,440.0,64.3,2890.0,12.0,2.7,14.0,3.2,50.0,7.1,6.2,11.0,180.6,81.1,37.0,234.0,6.1,5.2,7.8,1.0,3.0,4.99\,16.0,502.0,2346.0,20.0,49.0,4.7,146.6,19.0,57.63\,16,,,6,6,7,7,12,11,3,2,28,26,51,92.9%,33,30,90.9%,75,4756,42,56.0%,63.4,55,2678,71,0,48.7\,16,23,357,1,70,15.5,31,717,0,53,23.1,6672\,16,186,76,40.9%,17,9,52.9%,48,26,54.2%\,16,157,1007,36.9,12.1,6.4,33.1,Own 28.5,2:57,1.92\,16,353,5660,982,5.8,22,4,339,333,494,3557,22,18,6.9,187,464,2103,17,4.5,131,82,639,21,38.9,14.0,-113.10\,16.0,494.0,333.0,3557.0,22.0,8.4,1978.0,1765.0,135.0,24.4%,80.0,14.4%,42.0,8.5%,24.0,146.0,26.4%,90\,16.0,17.0,22.0,,,,2.0,,41.0,2.0,2.0,37.0,39.0,22.0,27.0,,353.0,22.1\,16.0,333.0,494.0,67.4,3557.0,22.0,4.5,18.0,52.0,3.6,7.5,6.8,11.2,222.3,89.3,24.0,165.0,65.0,48.0,6.9,6.2,4.6,-70.19\,16.0,464.0,2103.0,17.0,4.5,131.4,-42.97\,16,27,22,81.5%,39,37,94.9%,52,2390,0,46.0\,16,12,71,0,5.9,32,680,0,21.3\,16,186,76,40.9%,16,9,56.3%,49,32,65.3%\,16,157,1009,38.9,14.0,6.4,35.9,Own 24.6,3:10,2.16\
27,Denver Broncos,16,323,5369,1030,5.2,32,9,308,317,556,3451,21,23,5.9,176,442,1918,13,4.3,94,81,670,38,33.0,17.0,-21.82\,16.0,13.0,21.0,1.0,,,,,35.0,2.0,5.0,,25.0,30.0,28.0,35.0,,323.0,20.2\,16.0,317.0,556.0,57.0,3451.0,21.0,3.8,23.0,4.1,92.0,6.6,5.5,11.6,215.7,72.5,32.0,222.0,5.9,4.8,5.4,2.0,2.0,3.23\,16.0,442.0,1918.0,13.0,65.0,4.3,119.9,23.0,-13.97\,16,,,6,6,5,4,8,8,16,10,35,28,58,80.0%,30,25,83.3%,79,4839,54,68.4%,61.3,66,3040,69,1,46.1\,16,20,267,1,83,13.4,27,557,0,31,20.6,6531\,16,212,82,38.7%,15,4,26.7%,45,24,53.3%\,16,188,1065,33.0,17.0,5.7,28.4,Own 26.9,2:28,1.71\,16,446,5887,1043,5.6,16,6,333,374,567,3807,21,10,6.3,201,434,2080,22,4.8,106,106,952,26,44.6,8.2,-92.82\,16.0,567.0,374.0,3807.0,21.0,8.1,2366.0,1814.0,178.0,27.9%,73.0,11.5%,45.0,7.9%,42.0,160.0,25.1%,94\,16.0,22.0,21.0,,1.0,1.0,2.0,,47.0,1.0,3.0,41.0,44.0,39.0,42.0,2.0,446.0,27.9\,16.0,374.0,567.0,66.0,3807.0,21.0,3.7,10.0,64.0,1.8,7.2,7.2,10.9,237.9,92.1,42.0,282.0,93.0,65.0,6.3,6.2,6.9,-72.16\,16.0,434.0,2080.0,22.0,4.8,130.0,-28.92\,16,42,39,92.9%,44,41,93.2%,63,2829,0,44.9\,16,28,226,0,8.1,21,627,1,29.9\,16,219,88,40.2%,14,7,50.0%,61,29,47.5%\,16,184,1085,44.6,8.2,5.9,31.9,Own 31.9,2:42,2.27\
28,Cincinnati Bengals,16,311,5116,1040,4.9,24,13,318,372,581,3448,19,11,5.5,201,411,1668,13,4.1,92,83,675,25,33.0,12.8,-5.13\,16.0,13.0,19.0,,1.0,,,,33.0,,0.0,,32.0,33.0,27.0,34.0,,311.0,19.4\,16.0,372.0,581.0,64.0,3448.0,19.0,3.3,11.0,1.9,72.0,6.5,6.3,10.2,215.5,85.7,48.0,345.0,5.5,5.3,7.6,1.0,1.0,28.77\,16.0,411.0,1668.0,13.0,55.0,4.1,104.3,20.0,-28.73\,16,,,3,3,15,13,10,8,6,3,34,27,55,79.4%,33,32,97.0%,76,4777,56,73.7%,62.9,71,3350,72,0,47.2\,16,23,232,0,29,10.1,31,764,1,103,24.6,6579\,16,213,77,36.2%,27,19,70.4%,48,24,50.0%\,16,179,1074,33.0,12.8,6.0,28.4,Own 28.0,2:47,1.70\,16,424,6227,1021,6.1,17,6,343,340,541,3859,32,11,6.9,192,463,2368,13,5.1,126,99,795,25,43.3,9.4,-142.20\,16.0,541.0,340.0,3859.0,32.0,8.8,2380.0,1683.0,181.0,30.9%,41.0,7.0%,50.0,9.2%,17.0,108.0,18.5%,109\,16.0,13.0,32.0,,,2.0,,,47.0,,3.0,43.0,44.0,33.0,38.0,,424.0,26.5\,16.0,340.0,541.0,62.8,3859.0,32.0,5.9,11.0,80.0,2.0,7.3,7.6,11.6,241.2,96.1,17.0,83.0,73.0,45.0,6.9,7.2,3.0,-122.53\,16.0,463.0,2368.0,13.0,5.1,148.0,-30.61\,16,38,33,86.8%,44,43,97.7%,59,2797,0,47.4\,16,29,170,0,5.9,18,415,0,23.1\,16,210,91,43.3%,16,10,62.5%,58,37,63.8%\,16,180,1059,43.3,9.4,5.9,34.6,Own 29.0,2:37,2.30\
29,Jacksonville Jaguars,16,306,5218,997,5.2,25,9,310,387,616,3699,25,16,5.6,205,337,1519,9,4.5,80,107,1071,25,30.4,14.0,-6.12\,16.0,9.0,25.0,1.0,,,1.0,1.0,37.0,3.0,9.0,,24.0,28.0,18.0,25.0,,306.0,19.1\,16.0,387.0,616.0,62.8,3699.0,25.0,4.1,16.0,2.6,73.0,6.4,6.1,10.2,231.2,83.9,44.0,256.0,5.6,5.3,6.7,1.0,1.0,3.97\,16.0,337.0,1519.0,9.0,47.0,4.5,94.9,16.0,9.41\,16,,,5,4,7,6,4,2,9,6,25,18,59,72.0%,28,24,85.7%,73,4295,42,57.5%,58.8,65,3051,67,0,46.9\,16,18,205,1,91,11.4,30,614,0,40,20.5,6525\,16,207,84,40.6%,26,7,26.9%,45,27,60.0%\,16,171,1022,30.4,14.0,6.0,30.5,Own 26.5,2:36,1.71\,16,492,6683,1068,6.3,17,5,394,370,533,4231,34,12,7.7,210,517,2452,23,4.7,140,78,710,44,47.8,9.2,-228.53\,16.0,533.0,370.0,4231.0,34.0,8.3,2238.0,2101.0,179.0,31.0%,40.0,6.9%,49.0,9.2%,18.0,107.0,18.5%,115\,16.0,23.0,34.0,,,,,,57.0,1.0,2.0,51.0,55.0,31.0,39.0,2.0,492.0,30.8\,16.0,370.0,533.0,69.4,4231.0,34.0,6.4,12.0,60.0,2.3,8.1,8.4,11.7,264.4,105.6,18.0,91.0,77.0,57.0,7.7,7.9,3.3,-206.62\,16.0,517.0,2452.0,23.0,4.7,153.3,-26.00\,16,39,31,79.5%,55,51,92.7%,49,2090,1,42.7\,16,26,196,0,7.5,25,469,0,18.8\,16,198,86,43.4%,18,12,66.7%,63,40,63.5%\,16,184,1107,47.8,9.2,6.0,36.4,Own 31.2,2:50,2.67\
30,New York Giants,16,280,4794,966,5.0,22,11,297,321,517,3026,12,11,5.3,178,399,1768,13,4.4,91,81,634,28,33.5,12.6,-24.74\,16.0,13.0,12.0,,,1.0,1.0,,27.0,2.0,4.0,,21.0,23.0,31.0,32.0,,280.0,17.5\,16.0,321.0,517.0,62.1,3026.0,12.0,2.3,11.0,2.1,53.0,6.5,6.0,10.4,189.1,79.6,50.0,310.0,5.3,4.9,8.8,0.0,0.0,-15.36\,16.0,399.0,1768.0,13.0,80.0,4.4,110.5,20.0,1.12\,16,,,4,4,13,13,9,9,6,5,32,31,55,96.9%,23,21,91.3%,74,4407,30,40.5%,59.6,66,2911,71,1,44.1\,16,20,228,0,20,11.4,36,788,0,48,21.9,6259\,16,198,72,36.4%,22,14,63.6%,41,19,46.3%\,16,167,998,33.5,12.6,6.0,28.7,Own 29.2,2:45,1.60\,16,357,5589,1046,5.3,22,11,353,388,574,3807,22,11,6.2,215,432,1782,14,4.1,115,88,681,23,41.5,12.2,-63.46\,16.0,574.0,388.0,3807.0,22.0,7.3,2395.0,1874.0,174.0,26.9%,62.0,9.6%,59.0,10.3%,40.0,161.0,24.9%,97\,16.0,14.0,22.0,,1.0,1.0,,,38.0,1.0,7.0,29.0,31.0,32.0,36.0,1.0,357.0,22.3\,16.0,388.0,574.0,67.6,3807.0,22.0,3.8,11.0,75.0,1.9,7.2,7.1,10.6,237.9,93.2,40.0,323.0,107.0,74.0,6.2,6.1,6.5,-79.64\,16.0,432.0,1782.0,14.0,4.1,111.4,0.14\,16,36,32,88.9%,31,29,93.5%,55,2589,0,47.1\,16,25,232,0,9.3,41,910,1,22.2\,16,204,91,44.6%,18,11,61.1%,59,30,50.8%\,16,164,1082,41.5,12.2,6.6,34.0,Own 29.2,3:03,2.12\
31,New York Jets,16,243,4479,948,4.7,19,5,269,292,499,2796,16,14,5.2,146,406,1683,9,4.1,94,101,952,29,26.3,10.9,-59.07\,16.0,9.0,16.0,,,,1.0,,26.0,1.0,2.0,,20.0,24.0,21.0,28.0,1.0,243.0,15.2\,16.0,292.0,499.0,58.5,2796.0,16.0,3.2,14.0,2.8,69.0,6.2,5.6,10.7,174.8,75.9,43.0,319.0,5.2,4.6,7.9,,,-43.13\,16.0,406.0,1683.0,9.0,46.0,4.1,105.2,8.0,-6.76\,16,,,7,6,10,9,6,3,5,3,28,21,55,75.0%,24,20,83.3%,63,3965,34,54.0%,62.9,82,3598,60,0,43.9\,16,10,86,0,18,8.6,41,811,0,66,19.8,5840\,16,206,70,34.0%,18,7,38.9%,38,16,42.1%\,16,175,976,26.3,10.9,5.6,25.6,Own 26.4,2:33,1.36\,16,457,6201,1081,5.7,19,9,381,418,605,4409,34,10,6.9,235,445,1792,16,4.0,100,99,899,46,44.6,10.7,-169.15\,16.0,605.0,418.0,4409.0,34.0,7.7,2599.0,2077.0,249.0,38.4%,59.0,9.1%,46.0,7.6%,31.0,136.0,21.0%,133\,16.0,16.0,34.0,,,,3.0,,53.0,,1.0,50.0,52.0,29.0,35.0,1.0,457.0,28.6\,16.0,418.0,605.0,69.1,4409.0,34.0,5.6,10.0,67.0,1.7,7.6,8.0,11.0,275.6,103.2,31.0,186.0,84.0,72.0,6.9,7.3,4.9,-197.81\,16.0,445.0,1792.0,16.0,4.0,112.0,23.32\,16,35,29,82.9%,52,50,96.2%,54,2272,2,42.1\,16,38,446,0,11.7,27,670,0,24.8\,16,202,90,44.6%,12,5,41.7%,60,36,60.0%\,16,177,1116,44.6,10.7,6.3,34.9,Own 30.6,2:54,2.47\
32,Tm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P\,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt\,,,,,,,,,,,,,,,,,,,,
